Total	Correct	Uncorrect
719	322	397
Line	Prediction	Answer
0	False	y
1	False	y
2	False	y
3	False	y
4	False	y
5	False	y
6	False	y
7	False	n
8	False	y
9	False	n
10	False	y
11	False	y
12	False	y
13	False	y
14	False	n
15	False	y
16	False	y
17	False	y
18	False	y
19	False	y
20	False	n
21	False	n
22	False	y
23	False	n
24	False	y
25	False	y
26	False	n
27	False	y
28	False	y
29	False	n
30	False	y
31	False	y
32	False	n
33	False	y
34	False	y
35	False	y
36	False	y
37	False	y
38	False	y
39	False	n
40	False	n
41	False	n
42	False	n
43	False	n
44	False	y
45	False	y
46	False	y
47	False	y
48	False	n
49	False	n
50	False	n
51	False	n
52	False	y
53	False	y
54	False	n
55	False	y
56	False	y
57	False	y
58	False	y
59	False	y
60	False	y
61	False	y
62	False	n
63	False	y
64	False	y
65	False	n
66	False	y
67	False	n
68	False	n
69	False	n
70	False	n
71	False	y
72	False	n
73	False	n
74	False	n
75	False	y
76	False	n
77	False	y
78	False	y
79	False	n
80	False	y
81	False	y
82	False	y
83	False	y
84	False	y
85	False	n
86	False	y
87	False	y
88	False	y
89	False	y
90	False	y
91	False	y
92	False	y
93	False	s
94	False	y
95	False	n
96	False	y
97	False	y
98	False	y
99	False	n
100	False	y
101	False	n
102	False	y
103	False	y
104	False	n
105	False	y
106	False	y
107	False	y
108	False	n
109	False	s
110	False	n
111	False	n
112	False	n
113	False	n
114	False	y
115	False	y
116	False	y
117	False	y
118	False	y
119	False	n
120	False	n
121	False	y
122	False	n
123	False	y
124	False	n
125	False	n
126	False	s
127	False	n
128	False	n
129	False	y
130	False	y
131	False	y
132	False	y
133	False	n
134	False	n
135	False	n
136	False	n
137	False	y
138	False	n
139	False	n
140	False	n
141	False	n
142	False	n
143	False	y
144	False	n
145	False	y
146	False	n
147	False	n
148	False	y
149	False	n
150	False	y
151	False	n
152	False	y
153	False	n
154	False	n
155	False	n
156	False	n
157	False	n
158	False	y
159	False	y
160	False	n
161	False	n
162	False	n
163	False	y
164	False	y
165	False	y
166	False	n
167	False	y
168	False	y
169	False	n
170	False	y
171	False	n
172	False	y
