Metaphor	Prediction	Answer
poise is club	True	True
sunlight is silence	True	True
feet are anchor	True	True
horizon is gesture	True	True
good-by as if	True	True
eyes be lakes	True	True
world were taxi	True	True
poet is man	True	False
man is animal	True	True
name is james	True	False
earth is door	True	True
neck are fear	True	True
moon is sow	True	True
earth is birth	True	True
one is that	True	False
nature is humanity	True	True
love is word	True	True
goodbye is promise	True	True
body is afterimage	True	True
eyes are caves	True	True
sky is baby	True	False
road is somebody	True	False
life was strain	True	True
haggard is ryder	True	False
mind is city	True	True
others were despots	True	True
humor was necessity	True	False
name is time	True	True
name is death	True	True
hamlet is example	True	False
sun is yellowjacket	True	True
love is fiction	True	True
people are home	True	False
life is invocation	True	True
darkness is spring	True	True
trees are crystal	True	True
branches are wire	True	True
deer are ghosts	True	True
cemetery was sheet	True	True
spades are spades	True	False
clubs are clovers	True	False
books is slate-blue	True	False
talisman is phoenix	True	False
emblem is rock	True	False
machines are animals	True	True
man is speech	True	True
books were trees	True	True
trees were books	True	True
underwear is something	True	False
henry was man	True	False
man is nothing	True	False
heart was all	True	False
words are weight	True	True
vapor was ocean	True	True
use are books	True	False
god is size	True	True
night is each	True	True
joy is pain	True	True
sun is bonnet	True	True
afternoon was colour	True	True
hills is kind	True	True
world is dream	True	True
connecticut are dreamers	True	False
mouth is water	True	True
mind is blanket	True	True
impermanence is clash	True	False
meditation are mirage	True	True
earth is divinity	True	False
sky is divinity	True	False
spirits are keepers	True	False
mine was scene	True	False
dawn is angel	True	True
home is place	True	False
sausage was echt	True	False
selves are man	True	False
shopping is art	True	True
callers were fbi	True	False
mind is friend	True	True
body is illusion	True	True
people is something	True	False
ocean was salt	True	True
street is slice	True	True
chest was all	True	True
dreams are will-o'-the-wisps	True	True
soldiers are citizens	True	True
soldiers are dreamers	True	False
wind was torrent	True	True
road was ribbon	True	True
eyes were hollows	True	True
road was gypsy	True	True
road is ribbon	True	True
slopes were shadows	True	True
mind is water	True	True
laughter is bellows	True	True
god were issue	True	False
unshadow is death	True	True
road is glass	True	True
memory is stranger	True	True
cathleen' was name	True	False
laugh was cry	True	True
field is house	True	False
hope is command	True	True
country is nation	True	True
blacktime is time	True	False
stuff were scotch	True	True
reverie is desire	True	True
literature is lives	True	True
fiat is fiat	True	False
father was carpenter	True	False
workmen are singers	True	False
weight is measure	True	False
unclean is nature	True	False
bed was journey	True	True
masks are faces	True	True
gods are men	True	True
telephone is flaubert	True	True
telephone is guignol	True	True
men are freaks	True	False
?it is form	True	False
death is peppermint	True	True
fresher is mountain-sod	True	False
heart its heart	True	True
soul was yearning	True	False
heart is thine	True	False
culture is brethren	True	False
brooks are thames	True	False
rights are empire	True	True
i am watry	True	True
ways are fill	True	True
breast is love	True	True
peace be thine	True	False
arts are mine	True	False
outside was all	True	False
i am resurrection	True	False
earth is tomb	True	True
friars are dominicans	True	False
name is guidi	True	False
sparkle is citadel	True	False
life was level	True	False
star is world	True	True
god be rest	True	False
merchants were kings	True	True
fate is thine	True	False
?they were slain	True	False
road be head	True	True
juan was receiv	True	False
life was contest	True	True
limbs are bow	True	False
dungeon was gulf	True	True
man is cheerfulest	True	False
earth was helmsman	True	False
snark be snark	True	False
folk was criseyda	True	False
opyn is cheyne	True	False
gold is air	True	True
hopes were dupes	True	True
night is chill	True	False
name is geraldine	True	False
bones are dust	True	True
wave was all	True	True
friendship is sheltering	True	True
lips are thine	True	False
eyes are strangers	True	True
youth are lords	True	True
mercy is neglect	True	False
smiles are lightning	True	True
love was peace	True	False
soul is sense	True	True
life be blessing	True	False
queens are form	True	False
herringman was captain	True	False
kind is death	True	True
poetry is curs	True	False
slight was thing	True	False
client was martyr	True	True
side was tree	True	False
ignorance is bliss	True	False
soul is sort	True	True
death is nigh	True	False
stuff is flesh	True	False
